# Radiation correction v2.3. Params: lat=41.5178, lon=1.4944, utc_time=2021-07-25 20:19
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
6120, 432.65, -17.52, 93.2, 12.74, 215.9
6140, 431.50, -17.70, 93.1, 12.95, 215.3
6160, 430.36, -17.87, 92.9, 13.16, 214.6
6180, 429.21, -18.05, 92.7, 13.36, 214.0
6200, 428.07, -18.20, 92.6, 13.48, 213.1
6220, 426.93, -18.30, 92.6, 13.77, 209.5
6240, 425.80, -18.45, 92.5, 13.98, 211.5
6260, 424.66, -18.60, 92.5, 14.18, 213.5
6280, 423.53, -18.74, 92.4, 14.38, 215.5
6300, 422.40, -18.89, 92.3, 14.59, 217.5
6320, 421.27, -19.04, 92.3, 14.79, 219.5
6340, 420.15, -19.19, 92.2, 14.99, 221.5
6360, 419.03, -19.34, 92.2, 15.20, 223.5
6380, 417.91, -19.50, 92.1, 15.04, 225.7
6400, 416.79, -19.65, 92.1, 14.46, 227.7
6420, 415.67, -19.81, 92.0, 14.54, 229.8
6440, 414.56, -19.96, 92.0, 14.61, 231.8
6460, 413.45, -20.11, 91.9, 14.69, 233.8
6480, 412.34, -20.27, 91.9, 13.81, 230.6
6500, 411.23, -20.40, 91.8, 12.69, 223.9
6520, 410.13, -20.55, 91.8, 11.87, 229.2
6540, 409.03, -20.73, 91.7, 11.40, 234.8
6560, 407.93, -20.94, 91.6, 11.72, 232.7
6580, 406.83, -21.14, 91.5, 12.05, 230.7
6600, 405.74, -21.35, 91.4, 12.40, 228.7
6620, 404.64, -21.56, 91.3, 12.74, 226.7
6640, 403.55, -21.72, 91.3, 12.81, 223.8
6660, 402.46, -21.81, 91.3, 12.87, 221.4
6680, 401.38, -21.92, 91.2, 12.92, 221.3
6700, 400.29, -22.06, 91.2, 13.20, 230.6
6720, 399.21, -22.20, 91.2, 13.35, 238.2
6740, 398.13, -22.34, 91.1, 13.34, 239.6
6760, 397.05, -22.51, 91.1, 13.07, 237.6
6780, 395.98, -22.68, 91.0, 12.60, 235.1
6800, 394.91, -22.86, 90.9, 11.91, 231.3
6820, 393.84, -23.05, 90.9, 11.23, 229.4
6840, 392.77, -23.21, 90.8, 11.83, 234.1
6860, 391.70, -23.45, 90.8, 11.70, 243.0
6880, 390.64, -23.64, 90.8, 11.92, 239.9
6900, 389.57, -23.77, 90.8, 11.93, 235.7
6920, 388.51, -23.97, 90.7, 11.88, 241.0
6940, 387.45, -24.10, 90.8, 11.31, 247.3
6960, 386.40, -24.22, 90.8, 12.28, 249.3
6980, 385.35, -24.52, 90.7, 11.49, 246.0
7000, 384.29, -24.69, 90.6, 9.93, 240.7
7020, 383.24, -24.93, 90.5, 9.91, 243.1
7040, 382.20, -25.18, 90.4, 10.94, 258.6
7060, 381.15, -25.64, 90.2, 12.11, 260.3
7080, 380.11, -25.91, 90.2, 13.53, 260.8
7100, 379.06, -26.11, 90.2, 15.11, 261.7
7120, 378.02, -26.28, 90.2, 16.03, 261.2
